unit,cycle,reliability,y_obs,RUL
1,1,1.0,0,130
1,2,1.0,0,130
1,3,1.0,0,130
1,4,1.0,0,130
1,5,1.0,0,130
1,6,1.0,0,130
1,7,1.0,0,130
1,8,1.0,0,130
1,9,1.0,0,130
1,10,1.0,0,130
1,11,1.0,0,130
1,12,1.0,0,130
1,13,1.0,0,130
1,14,1.0,0,129
1,15,1.0,0,128
1,16,1.0,0,127
1,17,1.0,0,126
1,18,1.0,0,125
1,19,1.0,0,124
1,20,1.0,0,123
1,21,1.0,0,122
1,22,1.0,0,121
1,23,1.0,0,120
1,24,1.0,0,119
1,25,1.0,0,118
1,26,1.0,0,117
1,27,1.0,0,116
1,28,1.0,0,115
1,29,1.0,0,114
1,30,1.0,0,113
1,31,1.0,0,112
2,1,1.0,0,130
2,2,1.0,0,130
2,3,1.0,0,130
2,4,1.0,0,130
2,5,1.0,0,130
2,6,1.0,0,130
2,7,1.0,0,130
2,8,1.0,0,130
2,9,1.0,0,130
2,10,1.0,0,130
2,11,1.0,0,130
2,12,1.0,0,130
2,13,1.0,0,130
2,14,1.0,0,130
2,15,1.0,0,130
2,16,1.0,0,130
2,17,1.0,0,130
2,18,1.0,0,129
2,19,1.0,0,128
2,20,1.0,0,127
2,21,1.0,0,126
2,22,1.0,0,125
2,23,1.0,0,124
2,24,1.0,0,123
2,25,1.0,0,122
2,26,1.0,0,121
2,27,1.0,0,120
2,28,1.0,0,119
2,29,1.0,0,118
2,30,1.0,0,117
2,31,1.0,0,116
2,32,1.0,0,115
2,33,1.0,0,114
2,34,1.0,0,113
2,35,1.0,0,112
2,36,1.0,0,111
2,37,1.0,0,110
2,38,1.0,0,109
2,39,1.0,0,108
2,40,1.0,0,107
2,41,1.0,0,106
2,42,1.0,0,105
2,43,1.0,0,104
2,44,1.0,0,103
2,45,1.0,0,102
2,46,1.0,0,101
2,47,1.0,0,100
2,48,1.0,0,99
2,49,1.0,0,98
3,1,1.0,0,130
3,2,1.0,0,130
3,3,1.0,0,130
3,4,1.0,0,130
3,5,1.0,0,130
3,6,1.0,0,130
3,7,1.0,0,130
3,8,1.0,0,130
3,9,1.0,0,130
3,10,1.0,0,130
3,11,1.0,0,130
3,12,1.0,0,130
3,13,1.0,0,130
3,14,1.0,0,130
3,15,1.0,0,130
3,16,1.0,0,130
3,17,1.0,0,130
3,18,1.0,0,130
3,19,1.0,0,130
3,20,1.0,0,130
3,21,1.0,0,130
3,22,1.0,0,130
3,23,1.0,0,130
3,24,1.0,0,130
3,25,1.0,0,130
3,26,1.0,0,130
3,27,1.0,0,130
3,28,1.0,0,130
3,29,1.0,0,130
3,30,1.0,0,130
3,31,1.0,0,130
3,32,1.0,0,130
3,33,1.0,0,130
3,34,1.0,0,130
3,35,1.0,0,130
3,36,1.0,0,130
3,37,1.0,0,130
3,38,1.0,0,130
3,39,1.0,0,130
3,40,1.0,0,130
3,41,1.0,0,130
3,42,1.0,0,130
3,43,1.0,0,130
3,44,1.0,0,130
3,45,1.0,0,130
3,46,1.0,0,130
3,47,1.0,0,130
3,48,1.0,0,130
3,49,1.0,0,130
3,50,1.0,0,130
3,51,1.0,0,130
3,52,1.0,0,130
3,53,1.0,0,130
