,mean
op1,-8.870146866366145e-06
op1_d1,4.992487034074907e-07
op1_max20,0.003943066259512384
op1_mean20,-6.957461848066686e-06
op1_min20,-0.004026033638699045
op1_std20,0.0021429925467090416
op2,2.3508312733265463e-06
op2_d1,-2.3265958993747292e-07
op2_max20,0.00044625078764965354
op2_mean20,1.9797541880467604e-06
op2_min20,-0.0004401919441616985
op2_std20,0.00028664311658190103
s11,47.54116814502448
s11_d1,0.004057001599534677
s11_max20,47.697521205952214
s11_mean20,47.50749698868955
s11_min20,47.31656972517086
s11_std20,0.10290125128780517
s12,521.4134700208424
s12_d1,-0.010798797925451988
s12_max20,522.0650840967476
s12_mean20,521.5025486440704
s12_min20,520.9324012408512
s12_std20,0.30424747016683196
s13,2388.0961523920314
s13_d1,0.0009582666860548768
s13_max20,2388.145052590761
s13_mean20,2388.0887445744943
s13_min20,2388.0320285007997
s13_std20,0.03046784323444688
s14,8143.752722117203
s14_d1,0.14878823130240912
s14_max20,8149.062735204306
s14_mean20,8142.516343656418
s14_min20,8136.130255440842
s14_std20,3.5250358377532933
s15,8.442145581891328
s15_d1,0.0005075614366729681
s15_max20,8.475224918811497
s15_mean20,8.437799741439875
s15_min20,8.400645984198537
s15_std20,0.01998859083817753
s17,393.2106538703892
s17_d1,0.02181183655663807
s17_max20,394.707236682662
s17_mean20,393.0395714927427
s17_min20,391.3502496243517
s17_std20,0.9418967271079141
s18,2388.0
s18_d1,0.0
s18_max20,2388.0
s18_mean20,2388.0
s18_min20,2388.0
s18_std20,0.0
s2,642.6809335466046
s20,38.81627066065629
s20_d1,-0.0025960932577189654
s20_max20,39.022891280112454
s20_mean20,38.8370939698594
s20_min20,38.64920168678203
s20_std20,0.10040018075826336
s21,23.289705360864716
s21_d1,-0.001501618922979982
s21_max20,23.412012505452957
s21_mean20,23.302166107141602
s21_min20,23.19103261596626
s21_std20,0.059842674439002895
s2_d1,0.006420435267316171
s2_max20,643.1871019339828
s2_mean20,642.6264905775082
s2_min20,642.0691047452863
s2_std20,0.2993843560568414
s3,1590.5231186079202
s3_d1,0.07795695797586158
s3_max20,1597.197153797683
s3_mean20,1589.8699131187752
s3_min20,1582.522798700984
s3_std20,3.9582778610834155
s4,1408.9337816877514
s4_d1,0.13782802578643788
s4_max20,1415.3480088216763
s4_mean20,1407.8249074441994
s4_min20,1400.2967039891425
s4_std20,4.043201622914642
s6,21.609803208763513
s6_d1,2.4235373951815255e-06
s6_max20,21.60999612234017
s6_mean20,21.609778813345354
s6_min20,21.607795550385344
s6_std20,0.0006356971852911065
s7,553.367711211284
s7_d1,-0.012769133827734964
s7_max20,554.23127284184
s7_mean20,553.472783879349
s7_min20,552.7160370316514
s7_std20,0.4068780436437208
s8,2388.0966516407348
s8_d1,0.000919005380253019
s8_max20,2388.1454350249624
s8_mean20,2388.089382864647
s8_min20,2388.0336168872086
s8_std20,0.030160821611069446
s9,9065.242940720276
s9_d1,0.21094517958412054
s9_max20,9071.931677572586
s9_mean20,9063.485002216084
s9_min20,9055.117179487179
s9_std20,4.566303281623674
