,scale
op1,0.0021872604380133807
op1_d1,0.0030852717689549996
op1_max20,0.0012169485902379807
op1_mean20,0.0005294592844034176
op1_min20,0.0012409253235403763
op1_std20,0.0004118502523760696
op2,0.0002930550220098974
op2_d1,0.00041036441983468544
op2_max20,9.181718755034069e-05
op2_mean20,8.54553204337286e-05
op2_min20,8.781980614348581e-05
op2_std20,4.1696229231527005e-05
s11,0.26708092559826174
s11_d1,0.14324544960364904
s11_max20,0.24064647981513027
s11_mean20,0.22093082936761302
s11_min20,0.2158392465750681
s11_std20,0.021098768157888307
s12,0.7375355171108342
s12_d1,0.42350905117509646
s12_max20,0.5991110515676689
s12_mean20,0.6054087710174609
s12_min20,0.6562541350159781
s12_std20,0.062184691186335406
s13,0.07191717269564056
s13_d1,0.04291132888473334
s13_max20,0.0645320804796338
s13_mean20,0.05946001964352768
s13_min20,0.05995296786606183
s13_std20,0.006420941871226815
s14,19.075713652092396
s14_d1,4.442281827517468
s14_max20,17.726626062779122
s14_mean20,15.573232556810224
s14_min20,14.083979362434832
s14_std20,1.5442312257490147
s15,0.037504128992332054
s15_d1,0.02846170620162652
s15_max20,0.031730775552535485
s15_mean20,0.028344353107996708
s15_min20,0.0286505057554688
s15_std20,0.003976140100042354
s17,1.548725489308388
s17_d1,1.3355281848853708
s17_max20,1.287661938011144
s17_mean20,1.101316274371002
s17_min20,1.1557724711473374
s17_std20,0.1869595367053047
s18,1.0
s18_d1,1.0
s18_max20,1.0
s18_mean20,1.0
s18_min20,1.0
s18_std20,1.0
s2,0.50004115093577
s20,0.18074204736330857
s20_d1,0.14248093517869473
s20_max20,0.1378702747078557
s20_mean20,0.13495064117784575
s20_min20,0.1508574609502994
s20_std20,0.019233711736956764
s21,0.10824825121269074
s21_d1,0.0850291381586085
s21_max20,0.08379404344876047
s21_mean20,0.08104600039717255
s21_min20,0.0895832456563039
s21_std20,0.011569821060827445
s2_d1,0.42595953712975976
s2_max20,0.4151244314293295
s2_mean20,0.35967414894842886
s2_min20,0.37525109714284444
s2_std20,0.05862464987045014
s3,6.131000927188836
s3_d1,5.643681415943473
s3_max20,4.874131383964322
s3_mean20,4.185188606428914
s3_min20,4.559813097871341
s3_std20,0.7856847808567349
s4,9.000386644877734
s4_d1,5.685406357060594
s4_max20,7.778651767770553
s4_mean20,7.189771527813838
s4_min20,7.12598842345123
s4_std20,0.8120449954374053
s6,0.0013889512497306162
s6_d1,0.0018823405106996927
s6_max20,0.00019687956236522303
s6_mean20,0.0005671567954636799
s6_min20,0.004145467168245922
s6_std20,0.001252510917696472
s7,0.8850708068616238
s7_d1,0.5759172253437113
s7_max20,0.7174634190696635
s7_mean20,0.709282218366972
s7_min20,0.7755717755732622
s7_std20,0.08360911485207188
s8,0.07098375851045081
s8_d1,0.04269732078218461
s8_max20,0.06260949718105686
s8_mean20,0.05867653493405827
s8_min20,0.05937115237642156
s8_std20,0.006279920279360712
s9,22.082344331737623
s9_d1,5.88928873017124
s9_max20,20.47215638946482
s9_mean20,17.83374624720163
s9_min20,16.00530341067971
s9_std20,1.8228974457437035
